Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Island_encoded,Cluster
3/30/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
3/31/2020,ID-YO,Daerah Istimewa Yogyakarta,5,0,0,5,11,2,4,5,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,1.38,3.03,0.0,0.55,0.06,18.18%,36.36%,2.5,1.0,0,1
3/31/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/1/2020,ID-YO,Daerah Istimewa Yogyakarta,6,0,1,5,17,2,5,10,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,1.65,4.68,0.0,0.55,0.06,11.76%,29.41%,1.2,1.0,0,1
4/1/2020,ID-PA,Papua,0,0,1,-1,9,1,4,4,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,2.07,0.0,0.23,0.02,11.11%,44.44%,0.0,1.0,1,1
4/1/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/2/2020,ID-PA,Papua,0,0,1,-1,9,1,5,3,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,2.07,0.0,0.23,0.02,11.11%,55.56%,1.0,1.0,1,1
4/2/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/3/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,17,3,5,9,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,4.68,0.0,0.83,0.08,17.65%,29.41%,1.0,0.0,0,1
4/3/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/4/2020,ID-PA,Papua,2,0,1,1,17,2,6,9,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.46,3.92,0.0,0.46,0.05,11.76%,35.29%,0.33,0.0,1,1
4/4/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/5/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,23,3,5,15,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,6.33,0.0,0.83,0.08,13.04%,21.74%,0.2,1.0,0,1
4/5/2020,ID-PA,Papua,8,0,0,8,25,2,6,17,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,1.84,5.76,0.0,0.46,0.05,8.00%,24.00%,4.0,1.0,1,1
